Semester GPA         Estimated Min-Max (Avg) Percentile
4.300                99.38-100.00 (avg: 99.88)
4.240                98.75-100.00 (avg: 99.59)
4.200                98.28-100.00 (avg: 99.19)
4.180                97.19-99.69 (avg: 98.66)
4.120                96.88-100.00 (avg: 98.50)
4.100                95.94-99.38 (avg: 97.66)
4.060                94.53-98.44 (avg: 96.73)
4.000                93.12-97.03 (avg: 95.15)
3.940                90.62-96.09 (avg: 93.39)
3.900                89.06-94.06 (avg: 91.43)
3.880                86.41-92.66 (avg: 89.39)
3.866                86.25-92.19 (avg: 89.13)
3.860                86.25-92.03 (avg: 89.03)
3.820                85.62-91.88 (avg: 88.74)
3.819                85.47-92.19 (avg: 88.40)
3.800                83.28-89.38 (avg: 86.10)
3.766                80.16-87.50 (avg: 83.69)
3.760                79.69-86.72 (avg: 83.09)
3.739                78.91-86.88 (avg: 82.64)
3.700                76.56-84.84 (avg: 80.49)
3.680                73.75-83.59 (avg: 78.56)
3.679                74.06-82.81 (avg: 78.20)
3.666                72.97-81.25 (avg: 76.63)
3.660                70.94-79.69 (avg: 75.26)
3.620                71.25-79.22 (avg: 74.96)
3.619                70.62-78.75 (avg: 74.66)
3.600                70.16-78.75 (avg: 74.17)
3.566                67.03-74.22 (avg: 70.52)
3.540                62.81-71.25 (avg: 66.73)
3.533                61.72-70.00 (avg: 65.76)
3.520                61.25-69.38 (avg: 65.16)
3.519                60.62-69.06 (avg: 64.91)
3.479                61.25-69.06 (avg: 64.88)
3.466                60.78-68.75 (avg: 64.66)
3.460                59.38-68.12 (avg: 63.78)
3.459                59.06-67.19 (avg: 63.03)
3.440                58.44-66.88 (avg: 62.84)
3.433                54.69-62.34 (avg: 58.48)
3.400                48.44-58.44 (avg: 53.95)
3.380                47.34-57.50 (avg: 52.91)
3.333                45.94-55.62 (avg: 50.95)
3.320                44.22-54.69 (avg: 49.45)
3.319                43.12-54.06 (avg: 48.88)
3.300                42.66-53.12 (avg: 48.16)
3.299                38.44-47.50 (avg: 42.96)
3.260                33.75-42.50 (avg: 38.22)
3.239                32.66-41.72 (avg: 37.02)
3.233                30.94-40.47 (avg: 35.75)
3.200                30.94-39.53 (avg: 35.45)
3.199                27.81-34.22 (avg: 31.30)
3.180                22.34-30.31 (avg: 26.80)
3.179                21.56-29.38 (avg: 25.70)
3.120                20.00-27.50 (avg: 23.85)
3.100                15.94-22.19 (avg: 19.19)
3.060                10.78-18.12 (avg: 14.66)
3.000                7.50-12.19 (avg: 9.87)
2.940                3.28-7.97 (avg: 5.68)
2.900                2.50-5.31 (avg: 3.95)
2.880                0.62-3.91 (avg: 2.38)
2.820                0.62-3.44 (avg: 2.18)
2.800                0.47-2.34 (avg: 1.40)
2.766                0.31-1.56 (avg: 0.69)
2.700                0.31-0.94 (avg: 0.57)
2.666                0.31-0.31 (avg: 0.31)
2.566                0.31-0.31 (avg: 0.31)
